,data_type,material_type,year,month,type,month_current_year,month_prior_year,ytd_current,ytd_prior_year
69,Pounds of Materials Used,Non-Grain Products,2008,6,Other,2446573,2771370,10514645.0,9233947.0
70,Pounds of Materials Used,Total Non-Grain products,2008,6,Total Non-Grain products,91334066,108107812,538338598.0,624269734.0
71,Pounds of Materials Used,Total Used,2008,6,Total Used,653929711,655426035,3725300788.0,3696662140.0
72,Pounds of Materials Used,Grain Products,2008,7,Malt and malt products,405393784,409012239,2751287643.0,2721383844.0
73,Pounds of Materials Used,Grain Products,2008,7,Corn and corn products,66406321,57107410,435431047.0,319408966.0
74,Pounds of Materials Used,Grain Products,2008,7,Rice and rice products,74945452,78702386,507811375.0,539505417.0
75,Pounds of Materials Used,Grain Products,2008,7,Barley and barley products,3395619,3024211,32868573.0,30167288.0
76,Pounds of Materials Used,Grain Products,2008,7,Wheat and wheat products,1371856,1134843,11089376.0,10907980.0
77,Pounds of Materials Used,Total Grain products,2008,7,Total Grain products,551513032,548981089,3738488014.0,3621373495.0
78,Pounds of Materials Used,Non-Grain Products,2008,7,Sugar and syrups,76728131,93425185,566565788.0,678780073.0
79,Pounds of Materials Used,Non-Grain Products,2008,7,Hops (dry),1759452,2418725,35889463.0,29149119.0
80,Pounds of Materials Used,Non-Grain Products,2008,7,Hops (used as extracts),508794,525473,4365193.0,3475978.0
81,Pounds of Materials Used,Non-Grain Products,2008,7,Other,1437970,1588517,11953015.0,10822464.0
82,Pounds of Materials Used,Total Non-Grain products,2008,7,Total Non-Grain products,80434347,97957900,618773459.0,722227634.0
83,Pounds of Materials Used,Total Used,2008,7,Total Used,631947379,646938989,4357261473.0,4343601129.0
84,Pounds of Materials Used,Grain Products,2008,8,Malt and malt products,389391266,398850607,3140885987.0,3120045337.0
85,Pounds of Materials Used,Grain Products,2008,8,Corn and corn products,64953210,54510910,500438007.0,373919876.0
86,Pounds of Materials Used,Grain Products,2008,8,Rice and rice products,70993476,78677206,579293027.0,618182623.0
87,Pounds of Materials Used,Grain Products,2008,8,Barley and barley products,3772040,3436929,36645726.0,33606254.0
88,Pounds of Materials Used,Grain Products,2008,8,Wheat and wheat products,1588068,1337607,12682009.0,12246048.0
89,Pounds of Materials Used,Total Grain products,2008,8,Total Grain products,530698060,536813259,4269944756.0,4158000138.0
90,Pounds of Materials Used,Non-Grain Products,2008,8,Sugar and syrups,83928121,88308910,650553659.0,767089445.0
91,Pounds of Materials Used,Non-Grain Products,2008,8,Hops (dry),5992025,5210547,41887018.0,34359034.0
92,Pounds of Materials Used,Non-Grain Products,2008,8,Hops (used as extracts),377424,506950,4742617.0,3982929.0
93,Pounds of Materials Used,Non-Grain Products,2008,8,Other,1664171,1747557,13838219.0,12589065.0
94,Pounds of Materials Used,Total Non-Grain products,2008,8,Total Non-Grain products,91961741,95773964,711021513.0,818020473.0
95,Pounds of Materials Used,Total Used,2008,8,Total Used,622659801,632587223,4980966269.0,4976020611.0
96,Pounds of Materials Used,Grain Products,2008,9,Malt and malt products,362587470,368839700,3502608010.0,3488929114.0
97,Pounds of Materials Used,Grain Products,2008,9,Corn and corn products,59787127,53367404,560107134.0,427287280.0
98,Pounds of Materials Used,Grain Products,2008,9,Rice and rice products,61739894,65977889,641591109.0,684163022.0
99,Pounds of Materials Used,Grain Products,2008,9,Barley and barley products,8282404,8753818,45375202.0,42708783.0
100,Pounds of Materials Used,Grain Products,2008,9,Wheat and wheat products,1840600,1783510,14529654.0,14033263.0
101,Pounds of Materials Used,Total Grain products,2008,9,Total Grain products,494237495,498722321,4764211109.0,4657121462.0
102,Pounds of Materials Used,Non-Grain Products,2008,9,Sugar and syrups,71982604,76379897,722598338.0,843473805.0
103,Pounds of Materials Used,Non-Grain Products,2008,9,Hops (dry),3788942,3718782,45657845.0,38086275.0
104,Pounds of Materials Used,Non-Grain Products,2008,9,Hops (used as extracts),337294,437701,5079911.0,4420630.0
105,Pounds of Materials Used,Non-Grain Products,2008,9,Other,1732698,2126694,15585587.0,14715759.0
106,Pounds of Materials Used,Total Non-Grain products,2008,9,Total Non-Grain products,77841538,82663074,788921681.0,900696469.0
107,Pounds of Materials Used,Total Used,2008,9,Total Used,572079033,581385395,5553132790.0,5557817931.0
108,Pounds of Materials Used,Grain Products,2008,10,Malt and malt products,353803777,345268980,3856411787.0,3834198094.0
109,Pounds of Materials Used,Grain Products,2008,10,Corn and corn products,63047343,50162879,623154477.0,477450159.0
110,Pounds of Materials Used,Grain Products,2008,10,Rice and rice products,58607059,62675182,700198168.0,746838204.0
111,Pounds of Materials Used,Grain Products,2008,10,Barley and barley products,3825118,4315100,49200320.0,47023883.0
112,Pounds of Materials Used,Grain Products,2008,10,Wheat and wheat products,1431903,1251942,15961557.0,15285205.0
113,Pounds of Materials Used,Total Grain products,2008,10,Total Grain products,480715200,463674083,5244926309.0,5120795545.0
114,Pounds of Materials Used,Non-Grain Products,2008,10,Sugar and syrups,42828943,75045762,765427281.0,918519567.0
115,Pounds of Materials Used,Non-Grain Products,2008,10,Hops (dry),3788949,4139563,49446794.0,42225838.0
116,Pounds of Materials Used,Non-Grain Products,2008,10,Hops (used as extracts),337430,530230,5417341.0,4950860.0
117,Pounds of Materials Used,Non-Grain Products,2008,10,Other,1568462,1188150,17154049.0,15903909.0
118,Pounds of Materials Used,Total Non-Grain products,2008,10,Total Non-Grain products,48523784,80903705,837445465.0,981600174.0
119,Pounds of Materials Used,Total Used,2008,10,Total Used,529238984,544577788,6082371774.0,6102395719.0
120,Pounds of Materials Used,Grain Products,2008,11,Malt and malt products,322733711,336784425,4179145498.0,4170982519.0
121,Pounds of Materials Used,Grain Products,2008,11,Corn and corn products,53628776,46890065,676783253.0,524340224.0
122,Pounds of Materials Used,Grain Products,2008,11,Rice and rice products,53971515,60648378,754169683.0,807486582.0
123,Pounds of Materials Used,Grain Products,2008,11,Barley and barley products,3309266,4003419,52509586.0,51027302.0
124,Pounds of Materials Used,Grain Products,2008,11,Wheat and wheat products,959228,873013,16920785.0,16158218.0
125,Pounds of Materials Used,Total Grain products,2008,11,Total Grain products,434602496,449199300,5679528805.0,5569994845.0
126,Pounds of Materials Used,Non-Grain Products,2008,11,Sugar and syrups,44000736,78595788,809428017.0,997115355.0
127,Pounds of Materials Used,Non-Grain Products,2008,11,Hops (dry),3897905,5090530,53344699.0,47316368.0
128,Pounds of Materials Used,Non-Grain Products,2008,11,Hops (used as extracts),329906,621442,5747247.0,5572302.0
129,Pounds of Materials Used,Non-Grain Products,2008,11,Other,1247790,1603896,18401839.0,17507805.0
130,Pounds of Materials Used,Total Non-Grain products,2008,11,Total Non-Grain products,49476337,85911656,886921802.0,1067511830.0
131,Pounds of Materials Used,Total Used,2008,11,Total Used,484078833,535110956,6566450607.0,6637506675.0
132,Pounds of Materials Used,Grain Products,2008,12,Malt and malt products,318741733,319259762,4497887231.0,4490242281.0
133,Pounds of Materials Used,Grain Products,2008,12,Corn and corn products,49919452,44950282,726702705.0,569290506.0
134,Pounds of Materials Used,Grain Products,2008,12,Rice and rice products,61716256,61973102,815885939.0,869462029.0
135,Pounds of Materials Used,Grain Products,2008,12,Barley and barley products,6152633,7817457,58662219.0,58844759.0
136,Pounds of Materials Used,Grain Products,2008,12,Wheat and wheat products,1348759,1775621,18269544.0,17933839.0
137,Pounds of Materials Used,Total Grain products,2008,12,Total Grain products,437878833,435776224,6117407638.0,6005773414.0
138,Pounds of Materials Used,Non-Grain Products,2008,12,Sugar and syrups,38952441,61834705,848380458.0,1058950060.0
139,Pounds of Materials Used,Non-Grain Products,2008,12,Hops (dry),1576751,6391947,54921450.0,53708315.0
140,Pounds of Materials Used,Non-Grain Products,2008,12,Hops (used as extracts),272045,595035,6019292.0,6167337.0
141,Pounds of Materials Used,Non-Grain Products,2008,12,Other,1574456,1810028,19976295.0,19317833.0
142,Pounds of Materials Used,Total Non-Grain products,2008,12,Total Non-Grain products,42375693,70631715,929297495.0,1138143545.0
143,Pounds of Materials Used,Total Used,2008,12,Total Used,480254526,506407939,7046705133.0,7143916959.0
144,Pounds of Materials Used,Grain Products,2009,1,Malt and malt products,361377478,374191807,361377478.0,374191807.0
145,Pounds of Materials Used,Grain Products,2009,1,Corn and corn products,63115693,57563571,63115693.0,57563571.0
146,Pounds of Materials Used,Grain Products,2009,1,Rice and rice products,59961083,72866351,59961083.0,72866351.0
147,Pounds of Materials Used,Grain Products,2009,1,Barley and barley products,2169601,3819222,2169601.0,3819222.0
148,Pounds of Materials Used,Grain Products,2009,1,Wheat and wheat products,873714,1177586,873714.0,1177586.0
149,Pounds of Materials Used,Total Grain products,2009,1,Total Grain products,487497569,509618537,487497569.0,509618537.0
150,Pounds of Materials Used,Non-Grain Products,2009,1,Sugar and syrups,67834569,78575422,67834569.0,78575422.0
151,Pounds of Materials Used,Non-Grain Products,2009,1,Hops (dry),1461121,4506953,1461121.0,4506953.0
152,Pounds of Materials Used,Non-Grain Products,2009,1,Hops (used as extracts),324497,621912,324497.0,621912.0
153,Pounds of Materials Used,Non-Grain Products,2009,1,Other,1424001,1279564,1424001.0,1279564.0
154,Pounds of Materials Used,Total Non-Grain products,2009,1,Total Non-Grain products,71044188,84983851,71044188.0,84983851.0
155,Pounds of Materials Used,Total Used,2009,1,Total Used,558541757,594602388,558541757.0,594602388.0
156,Pounds of Materials Used,Grain Products,2009,2,Malt and malt products,339472713,356380767,700856291.0,730572574.0
157,Pounds of Materials Used,Grain Products,2009,2,Corn and corn products,60966715,59513472,124082408.0,117077043.0
158,Pounds of Materials Used,Grain Products,2009,2,Rice and rice products,60150183,66061597,120111266.0,138927948.0
159,Pounds of Materials Used,Grain Products,2009,2,Barley and barley products,3334476,3116333,5504077.0,6935555.0
160,Pounds of Materials Used,Grain Products,2009,2,Wheat and wheat products,1142813,1247933,2016527.0,2425519.0
161,Pounds of Materials Used,Total Grain products,2009,2,Total Grain products,465066900,486320102,952570569.0,995938639.0
162,Pounds of Materials Used,Non-Grain Products,2009,2,Sugar and syrups,69375203,80195077,137209772.0,158770499.0
163,Pounds of Materials Used,Non-Grain Products,2009,2,Hops (dry),4601598,1816390,6062839.0,6323343.0
164,Pounds of Materials Used,Non-Grain Products,2009,2,Hops (used as extracts),345975,476688,670472.0,1098600.0
165,Pounds of Materials Used,Non-Grain Products,2009,2,Other,939857,1321750,2363858.0,2601314.0
166,Pounds of Materials Used,Total Non-Grain products,2009,2,Total Non-Grain products,75262633,83809905,146306941.0,168793756.0
167,Pounds of Materials Used,Total Used,2009,2,Total Used,540329533,570130007,1098877510.0,1164732395.0
168,Pounds of Materials Used,Grain Products,2009,3,Malt and malt products,380133298,400460958,1080736584.0,1131033532.0
169,Pounds of Materials Used,Grain Products,2009,3,Corn and corn products,66543131,60800726,190625839.0,177877769.0
170,Pounds of Materials Used,Grain Products,2009,3,Rice and rice products,64006735,72627795,184963333.0,211558089.0
171,Pounds of Materials Used,Grain Products,2009,3,Barley and barley products,7094005,7435598,13145280.0,14371153.0
172,Pounds of Materials Used,Grain Products,2009,3,Wheat and wheat products,2175247,1934403,4210721.0,4359922.0
173,Pounds of Materials Used,Total Grain products,2009,3,Total Grain products,519952416,543259480,1473681757.0,1539200465.0
174,Pounds of Materials Used,Non-Grain Products,2009,3,Sugar and syrups,70030415,78910159,207294067.0,237680658.0
175,Pounds of Materials Used,Non-Grain Products,2009,3,Hops (dry),6787391,6100193,12853191.0,12423525.0
176,Pounds of Materials Used,Non-Grain Products,2009,3,Hops (used as extracts),382897,1195722,1053577.0,2294322.0
177,Pounds of Materials Used,Non-Grain Products,2009,3,Other,6604657,2381920,8974660.0,4983344.0
178,Pounds of Materials Used,Total Non-Grain products,2009,3,Total Non-Grain products,83805360,88587994,230175495.0,257381849.0
179,Pounds of Materials Used,Total Used,2009,3,Total Used,603757776,631847474,1703857252.0,1796582314.0
180,Pounds of Materials Used,Grain Products,2009,4,Malt and malt products,384396702,388670342,1465133286.0,1519703874.0
181,Pounds of Materials Used,Grain Products,2009,4,Corn and corn products,67266636,61555980,257892475.0,239433749.0
182,Pounds of Materials Used,Grain Products,2009,4,Rice and rice products,63166930,73309991,248130263.0,284868080.0
183,Pounds of Materials Used,Grain Products,2009,4,Barley and barley products,3349556,3912088,16494836.0,18283241.0
184,Pounds of Materials Used,Grain Products,2009,4,Wheat and wheat products,1569606,1405033,5780327.0,5764955.0
185,Pounds of Materials Used,Total Grain products,2009,4,Total Grain products,519749430,528853434,1993431187.0,2068053899.0
186,Pounds of Materials Used,Non-Grain Products,2009,4,Sugar and syrups,71341108,81200057,278635175.0,318880715.0
187,Pounds of Materials Used,Non-Grain Products,2009,4,Hops (dry),5574889,6864666,18428080.0,19288191.0
188,Pounds of Materials Used,Non-Grain Products,2009,4,Hops (used as extracts),388369,503072,1441946.0,2797394.0
189,Pounds of Materials Used,Non-Grain Products,2009,4,Other,6169478,1332607,15144138.0,6315951.0
190,Pounds of Materials Used,Total Non-Grain products,2009,4,Total Non-Grain products,83473844,89900402,313649339.0,347282251.0
191,Pounds of Materials Used,Total Used,2009,4,Total Used,603223274,618753836,2307080526.0,2415336150.0
192,Pounds of Materials Used,Grain Products,2009,5,Malt and malt products,391469434,411341544,1856668052.0,1931045418.0
193,Pounds of Materials Used,Grain Products,2009,5,Corn and corn products,62481084,63945802,320373559.0,303379551.0
194,Pounds of Materials Used,Grain Products,2009,5,Rice and rice products,67120251,76219021,315250514.0,361087101.0
195,Pounds of Materials Used,Grain Products,2009,5,Barley and barley products,3684818,3660048,20180000.0,21943289.0
196,Pounds of Materials Used,Grain Products,2009,5,Wheat and wheat products,1712205,1697878,7492532.0,7462833.0
197,Pounds of Materials Used,Total Grain products,2009,5,Total Grain products,526467792,556864293,2519964657.0,2624918192.0
198,Pounds of Materials Used,Non-Grain Products,2009,5,Sugar and syrups,75011893,89946309,353647068.0,408827024.0
199,Pounds of Materials Used,Non-Grain Products,2009,5,Hops (dry),7051829,7470400,25480154.0,26758591.0
200,Pounds of Materials Used,Non-Grain Products,2009,5,Hops (used as extracts),450264,545875,1892210.0,3343269.0
201,Pounds of Materials Used,Non-Grain Products,2009,5,Other,6915331,1804156,22059123.0,8120107.0
202,Pounds of Materials Used,Total Non-Grain products,2009,5,Total Non-Grain products,89429317,99766740,403078555.0,447048991.0
203,Pounds of Materials Used,Total Used,2009,5,Total Used,615897109,656631033,2923043212.0,3071967183.0
204,Pounds of Materials Used,Grain Products,2009,6,Malt and malt products,381247341,415350597,2242117420.0,2346396015.0
205,Pounds of Materials Used,Grain Products,2009,6,Corn and corn products,62107546,65610104,382481467.0,368989655.0
206,Pounds of Materials Used,Grain Products,2009,6,Rice and rice products,64576127,71931873,381522344.0,434013436.0
207,Pounds of Materials Used,Grain Products,2009,6,Barley and barley products,8146509,8078625,28472349.0,30021914.0
208,Pounds of Materials Used,Grain Products,2009,6,Wheat and wheat products,1966215,2266315,9545902.0,9729148.0
209,Pounds of Materials Used,Total Grain products,2009,6,Total Grain products,518043738,563237514,3044139482.0,3189150168.0
210,Pounds of Materials Used,Non-Grain Products,2009,6,Sugar and syrups,69563483,81016162,423322455.0,489843186.0
211,Pounds of Materials Used,Non-Grain Products,2009,6,Hops (dry),6854083,7373780,32359017.0,34132371.0
212,Pounds of Materials Used,Non-Grain Products,2009,6,Hops (used as extracts),381321,513130,2273531.0,3856399.0
213,Pounds of Materials Used,Non-Grain Products,2009,6,Other,6216613,2623660,28284401.0,10743767.0
214,Pounds of Materials Used,Total Non-Grain products,2009,6,Total Non-Grain products,83015500,91526732,486239404.0,538575723.0
215,Pounds of Materials Used,Total Used,2009,6,Total Used,601059238,654764246,3530378886.0,3727725891.0
216,Pounds of Materials Used,Grain Products,2009,7,Malt and malt products,382672919,404594120,2662446464.0,2751067858.0
217,Pounds of Materials Used,Grain Products,2009,7,Corn and corn products,68510353,66377521,450993766.0,435367176.0
218,Pounds of Materials Used,Grain Products,2009,7,Rice and rice products,63277242,75689964,445884529.0,509703400.0
219,Pounds of Materials Used,Grain Products,2009,7,Barley and barley products,4185235,3393374,33131330.0,33405477.0
220,Pounds of Materials Used,Grain Products,2009,7,Wheat and wheat products,1475523,1371856,11212754.0,11101504.0
221,Pounds of Materials Used,Total Grain products,2009,7,Total Grain products,520121272,551426835,3603668843.0,3740645415.0
222,Pounds of Materials Used,Non-Grain Products,2009,7,Sugar and syrups,64776817,76786623,488127572.0,566629809.0
223,Pounds of Materials Used,Non-Grain Products,2009,7,Hops (dry),7309199,1753906,39704504.0,35887416.0
224,Pounds of Materials Used,Non-Grain Products,2009,7,Hops (used as extracts),359130,508794,2632661.0,4365193.0
225,Pounds of Materials Used,Non-Grain Products,2009,7,Other,13368693,1438031,54137202.0,12181798.0
226,Pounds of Materials Used,Total Non-Grain products,2009,7,Total Non-Grain products,85813839,80487354,584601939.0,619064216.0
227,Pounds of Materials Used,Total Used,2009,7,Total Used,605935111,631914189,4188270782.0,4359709631.0
228,Pounds of Materials Used,Grain Products,2009,8,Malt and malt products,362521445,389410506,3024967909.0,3140478364.0
229,Pounds of Materials Used,Grain Products,2009,8,Corn and corn products,57684547,64953210,508678313.0,500320386.0
230,Pounds of Materials Used,Grain Products,2009,8,Rice and rice products,61417028,71799926,507301557.0,581503326.0
231,Pounds of Materials Used,Grain Products,2009,8,Barley and barley products,3789027,3778286,36920357.0,37183763.0
232,Pounds of Materials Used,Grain Products,2009,8,Wheat and wheat products,1298648,1588068,12511402.0,12689572.0
233,Pounds of Materials Used,Total Grain products,2009,8,Total Grain products,486710695,531529996,4090379538.0,4272175411.0
234,Pounds of Materials Used,Non-Grain Products,2009,8,Sugar and syrups,61354833,83984025,549482405.0,650613834.0
235,Pounds of Materials Used,Non-Grain Products,2009,8,Hops (dry),5393471,5992208,45097975.0,41879624.0
236,Pounds of Materials Used,Non-Grain Products,2009,8,Hops (used as extracts),322875,377424,2955536.0,4742617.0
237,Pounds of Materials Used,Non-Grain Products,2009,8,Other,10315854,1671801,64453056.0,13853599.0
238,Pounds of Materials Used,Total Non-Grain products,2009,8,Total Non-Grain products,77387033,92025458,661988972.0,711089674.0
239,Pounds of Materials Used,Total Used,2009,8,Total Used,564097728,623555454,4752368510.0,4983265085.0
240,Pounds of Materials Used,Grain Products,2009,9,Malt and malt products,370369895,363334515,3396959380.0,3503862422.0
241,Pounds of Materials Used,Grain Products,2009,9,Corn and corn products,54632420,59787530,557256127.0,560107916.0
242,Pounds of Materials Used,Grain Products,2009,9,Rice and rice products,57686245,62013175,565528750.0,643518905.0
243,Pounds of Materials Used,Grain Products,2009,9,Barley and barley products,8106300,8479049,45463026.0,45662812.0
244,Pounds of Materials Used,Grain Products,2009,9,Wheat and wheat products,1934968,1880028,14532590.0,14569600.0
245,Pounds of Materials Used,Total Grain products,2009,9,Total Grain products,492729828,495494297,4579739873.0,4767721655.0
246,Pounds of Materials Used,Non-Grain Products,2009,9,Sugar and syrups,50025197,68092555,599584438.0,718707826.0
247,Pounds of Materials Used,Non-Grain Products,2009,9,Hops (dry),5216389,3807149,51892616.0,45687282.0
248,Pounds of Materials Used,Non-Grain Products,2009,9,Hops (used as extracts),305344,338019,3264706.0,5081526.0
249,Pounds of Materials Used,Non-Grain Products,2009,9,Other,11250446,1732849,75834659.0,15586465.0
250,Pounds of Materials Used,Total Non-Grain products,2009,9,Total Non-Grain products,66797376,73970572,730576419.0,785063099.0
251,Pounds of Materials Used,Total Used,2009,9,Total Used,559527204,569464869,5310316292.0,5552784754.0
252,Pounds of Materials Used,Grain Products,2009,10,Malt and malt products,333286901,353743807,3731548182.0,3857595976.0
253,Pounds of Materials Used,Grain Products,2009,10,Corn and corn products,55590153,63047343,612846280.0,623155259.0
