,state,type,decade growth
285,PA,Kegs and Barrels,6.478248479050203
287,RI,Kegs and Barrels,746.2871751171708
289,SC,Kegs and Barrels,130.71632349593375
291,SD,Kegs and Barrels,367.8251748251748
293,TN,Kegs and Barrels,244.8140857802036
295,TX,Kegs and Barrels,-3.46122237295697
297,UT,Kegs and Barrels,48.59777124097628
299,VA,Kegs and Barrels,-16.79595881375689
301,VT,Kegs and Barrels,-1.5890736214231982
303,WA,Kegs and Barrels,25.9119777968371
305,WI,Kegs and Barrels,-23.063984412446377
307,WV,Kegs and Barrels,142.72404292343387
309,WY,Kegs and Barrels,526.3547300574303
311,total,Kegs and Barrels,-13.91674789927036
